"type","country","total_amount","year"
"03章 鱼及其他水生无脊椎动物","中国香港",655809000,"2024"
"03章 鱼及其他水生无脊椎动物","印度",5360600,"2024"
"03章 鱼及其他水生无脊椎动物","印度尼西亚",79216200,"2024"
"03章 鱼及其他水生无脊椎动物","伊朗",3444000,"2024"
"03章 鱼及其他水生无脊椎动物","日本",1405651800,"2024"
"03章 鱼及其他水生无脊椎动物","中国澳门",21981400,"2024"
"03章 鱼及其他水生无脊椎动物","马来西亚",162874600,"2024"
"03章 鱼及其他水生无脊椎动物","阿曼",1261540.98,"2024"
"03章 鱼及其他水生无脊椎动物","巴基斯坦",0,"2024"
"03章 鱼及其他水生无脊椎动物","菲律宾",348430600,"2024"
"03章 鱼及其他水生无脊椎动物","沙特阿拉伯",0,"2024"
"03章 鱼及其他水生无脊椎动物","新加坡",49466200,"2024"
"03章 鱼及其他水生无脊椎动物","韩国",928898600,"2024"
"03章 鱼及其他水生无脊椎动物","泰国",250251400,"2024"
"03章 鱼及其他水生无脊椎动物","土耳其",1461600,"2024"
"03章 鱼及其他水生无脊椎动物","阿拉伯联合酋长国",17705800,"2024"
"03章 鱼及其他水生无脊椎动物","越南",279804000,"2024"
"03章 鱼及其他水生无脊椎动物","中国台湾",282322600,"2024"
"03章 鱼及其他水生无脊椎动物","哈萨克斯坦",2653000,"2024"
"03章 鱼及其他水生无脊椎动物","南非",36954400,"2024"
"03章 鱼及其他水生无脊椎动物","欧洲联盟",1212920800,"2024"
"03章 鱼及其他水生无脊椎动物","比利时",46401600,"2024"
"03章 鱼及其他水生无脊椎动物","丹麦",9919000,"2024"
"03章 鱼及其他水生无脊椎动物","英国",273791000,"2024"
"03章 鱼及其他水生无脊椎动物","德国",246415400,"2024"
"03章 鱼及其他水生无脊椎动物","法国",149961000,"2024"
"03章 鱼及其他水生无脊椎动物","意大利",94605000,"2024"
"03章 鱼及其他水生无脊椎动物","荷兰",116992400,"2024"
"03章 鱼及其他水生无脊椎动物","西班牙",294579600,"2024"
"03章 鱼及其他水生无脊椎动物","奥地利",360013.36,"2024"
"03章 鱼及其他水生无脊椎动物","芬兰",585057.9,"2024"
"03章 鱼及其他水生无脊椎动物","瑞典",67230800,"2024"
"03章 鱼及其他水生无脊椎动物","罗马尼亚",5422001.06,"2024"
"03章 鱼及其他水生无脊椎动物","瑞士",942200,"2024"
"03章 鱼及其他水生无脊椎动物","俄罗斯",190691200,"2024"
"03章 鱼及其他水生无脊椎动物","乌克兰",11813200,"2024"
"03章 鱼及其他水生无脊椎动物","阿根廷",67200,"2024"
"03章 鱼及其他水生无脊椎动物","巴西",54993400,"2024"
"03章 鱼及其他水生无脊椎动物","智 利",18698400,"2024"
"03章 鱼及其他水生无脊椎动物","加拿大",180237400,"2024"
"03章 鱼及其他水生无脊椎动物","美国",884042600,"2024"
"03章 鱼及其他水生无脊椎动物","澳大利亚",83937000,"2024"
"03章 鱼及其他水生无脊椎动物","新西兰",16287600,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","缅甸",802200,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","中国香港",239017800,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","印度",11200,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","印度尼西亚",711200,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","伊朗",75600,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","日本",69956600,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","中国澳门",22367599.38,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","马来西亚",5720400,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","阿曼",929967.5,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","巴基斯坦",172200,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","菲律宾",6503000,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","沙特阿拉伯",10143432.18,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","新加坡",17617600,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","韩国",13018600,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","泰国",4522000,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","土耳其",354200,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","阿拉伯联合酋长国",1780800,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","越南",884800,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","中国台湾",0,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","哈萨克斯坦",0,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","南非",5636400,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","欧洲联盟",96733000,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","比利时",31249400,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","丹麦",1772400,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","英国",52550400,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","德国",4349800,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","法国",1360800,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","意大利",2150400,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","荷兰",9074800,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","西班牙",16567600,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","奥地利",85400,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","芬兰",0,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","瑞典",523600,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","罗马尼亚",477400,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","瑞士",0,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","俄罗斯",56000,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","乌克兰",4200,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","阿根廷",121800,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","巴西",23800,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","智 利",4200,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","加拿大",5826800,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","美国",18197200,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","澳大利亚",11047400,"2024"
"04章 乳；蛋；蜂蜜；其他食用动物产品","新西兰",1422400,"2024"
"05章 其他动物产品","缅甸",41802600,"2024"
"05章 其他动物产品","中国香港",12955600,"2024"
"05章 其他动物产品","印度",2881200,"2024"
"05章 其他动物产品","印度尼西亚",33723200,"2024"
"05章 其他动物产品","伊朗",436800,"2024"
"05章 其他动物产品","日本",126534800,"2024"
"05章 其他动物产品","中国澳门",43400,"2024"
"05章 其他动物产品","马来西亚",5091800,"2024"
"05章 其他动物产品","阿曼",8400,"2024"
"05章 其他动物产品","巴基斯坦",298200,"2024"
